itemNumber,modelNumber,shortDescription,mainHeading,mainDescription,bullets,specifications,specVersions,brandName,packagedWeight,dateModified,category_id,categoryPathIDs,categoryPathTitle,categoryPathUrl,stockLevelHint,sspGBP,featured_image,product_image_gallery
171.985UK,RUHH-PLL,Handheld Mic for RU105 & RU210,Handheld UHF Transmitter for RU105 & RU210,UHF handheld transmitter compatible with Citronic wireless systems. The carrier frequency can be programmed via I.R. sync signal from the Citronic wireless receiver unit.,Pilot tone for RU105 and RU210 compatibility[br]Up to 60m range[br]High quality dynamic capsule[br]Backlit LCD display[br]Compatible with RU105 and RU210 systems,Power supply[tab]3Vdc (2 x AA batteries)[br]Operating frequencies[tab]863.1 to 864.9MHz[br]Maximum range[tab]60m[br]Dimensions[tab]265 x 49mmØ[br]Weight[tab]330g,,Citronic,0.33,22/06/2021 11:25,966,"1,178,964,966",Microphones -> UHF Wireless -> UHF Accessories,microphones/uhf-wireless/uhf-accessories,0,52.99,https://www.avsl.com/assets/images/1/7/171985UK_TP1.jpg,https://www.avsl.com/assets/images/1/7/171985UK_CO1.jpg
171.986UK,RUBP-PLL,Beltpack for RU105 & RU210,Beltpack UHF Transmitter for RU105 & RU210,UHF beltpack transmitter compatible with Citronic wireless systems. The carrier frequency can be programmed via I.R. sync signal from the Citronic wireless receiver unit.,Pilot tone for RU105 and RU210 compatibility[br]Up to 60m range[br]Compatible with Chord neckband and lavalier microphones[br]Backlit LCD display[br]Compatible with RU105 and RU210 systems,Carrier frequencies[tab]863.1 - 864.9MHz[br]Connector[tab]Threaded 3.5mm mono jack (for lavalier or headset)[br]Power supply[tab]3Vdc (2 x AA batteries)[br]Maximum range[tab]60m[br]Dimensions[tab]205 x 68 x 25mm[br]Weight[tab]76g (no batteries),,Citronic,0.076,22/06/2021 11:26,966,"1,178,964,966",Microphones -> UHF Wireless -> UHF Accessories,microphones/uhf-wireless/uhf-accessories,0,62.99,https://www.avsl.com/assets/images/1/7/171986UK_CO1.jpg,https://www.avsl.com/assets/images/1/7/171986UK_TP1.jpg
171.988UK,NUHH-863.1,Handheld Mic 863.1MHz for NU1,Handheld Transmitters for NU1 Systems,Handheld transmitter compatible with Chord NU series single channel wireless receivers. Available in 2 different carrier frequency versions with pilot tone for compatibility with NU1 systems.,Pilot tone for NU1 compatibility[br]Up to 60m range[br]High quality dynamic capsule[br]Compatible with NU1 systems,Power supply[tab]3Vdc (2 x AA batteries)[br]Maximum range[tab]60m[br]Dimensions[tab]243 x 48mmØ[br]Weight[tab]238g (no batteries),Carrier frequency[tab]863.1MHz,Chord,0.238,20/12/2022 11:57,966,"1,178,964,966",Microphones -> UHF Wireless -> UHF Accessories,microphones/uhf-wireless/uhf-accessories,0,49.99,https://www.avsl.com/assets/images/1/7/171988UK_CO1.jpg,https://www.avsl.com/assets/images/1/7/171988UK_LS4.jpg
171.991UK,NUHH-864.1,Handheld Mic 864.1MHz for NU1,Handheld Transmitters for NU1 Systems,Handheld transmitter compatible with Chord NU series single channel wireless receivers. Available in 2 different carrier frequency versions with pilot tone for compatibility with NU1 systems.,Pilot tone for NU1 compatibility[br]Up to 60m range[br]High quality dynamic capsule[br]Compatible with NU1 systems,Power supply[tab]3Vdc (2 x AA batteries)[br]Maximum range[tab]60m[br]Dimensions[tab]243 x 48mmØ[br]Weight[tab]238g (no batteries),Carrier frequency[tab]864.1MHz,Chord,0.238,20/12/2022 11:57,966,"1,178,964,966",Microphones -> UHF Wireless -> UHF Accessories,microphones/uhf-wireless/uhf-accessories,7,49.99,https://www.avsl.com/assets/images/1/7/171991UK_TP1.jpg,https://www.avsl.com/assets/images/1/7/171991UK_LS2.jpg
171.994UK,NUBP-863.1,Beltpack 863.1MHz for NU1,Beltpack Transmitters for NU1 Systems,UHF beltpack transmitter compatible with Chord UHF wireless systems. Available in 2 different carrier frequency versions with pilot tone for compatibility with NU1 systems.,Pilot tone for NU1 compatibility[br]Up to 60m range[br]Compatible with NU1 systems[br]Compatible with Chord neckband and lavalier microphones,Power supply[tab]3Vdc (2 x AA batteries)[br]Maximum range[tab]60m[br]Dimensions[tab]205 x 68 x 25mm[br]Weight[tab]76g (no batteries)[br]Connector[tab]Threaded 3.5mm mono jack (for lavalier or headset),Carrier frequency[tab]863.1MHz,Chord,0.076,22/06/2021 11:26,966,"1,178,964,966",Microphones -> UHF Wireless -> UHF Accessories,microphones/uhf-wireless/uhf-accessories,3,49.99,https://www.avsl.com/assets/images/1/7/171994UK_CO1.jpg,
171.997UK,NUBP-864.1,Beltpack 864.1MHz for NU1,Beltpack Transmitters for NU1 Systems,UHF beltpack transmitter compatible with Chord UHF wireless systems. Available in 2 different carrier frequency versions with pilot tone for compatibility with NU1 systems.,Pilot tone for NU1 compatibility[br]Up to 60m range[br]Compatible with NU1 systems[br]Compatible with Chord neckband and lavalier microphones,Power supply[tab]3Vdc (2 x AA batteries)[br]Maximum range[tab]60m[br]Dimensions[tab]205 x 68 x 25mm[br]Weight[tab]76g (no batteries)[br]Connector[tab]Threaded 3.5mm mono jack (for lavalier or headset),Carrier frequency[tab]864.1MHz,Chord,0.076,22/06/2021 11:26,966,"1,178,964,966",Microphones -> UHF Wireless -> UHF Accessories,microphones/uhf-wireless/uhf-accessories,8,49.99,https://www.avsl.com/assets/images/1/7/171997UK_CO1.jpg,
172.020UK,QA400,QA400 Power Amplifier,QA Series Power Amplifiers,"Professional dual channel power amplifiers delivering high quality, dependable performance at an accessible price. Design of these workhorse amplifiers has been focused upon high power delivery without over-complicated features adding excessive costs. Yet still, these units are furnished with multiple connection possibilities and self protection circuitry to ensure that they will deliver, whatever the application.","High power delivery[br]Overheat/overload protection[br]Multiple input and output connection types[br]2U 19"" rack mountable[br]Balanced and unbalanced inputs","Power supply[tab]110/240Vac, 50/60Hz (IEC)[br]THD[tab]0.25%[br]SNR[tab]90dB[br]Inputs[tab]Combo (6.3mm jack + XLR) and  RCA[br]Outputs[tab]SPK, 6.3mm jack and 4mm binding posts",Power max. @ 4 Ohms[tab]2 x 200W[br]Power rms @ 4 Ohms[tab]2 x 100W[br]Power rms @ 8 Ohms[tab]2 x 70W[br]Dimensions[tab]88 x 482 x 270mm[br]Weight[tab]6.8kg[br]Fuse rating[tab]T5A (240V) / T10A (110V),QTX,6.8,03/08/2022 13:04,786,"1,165,169,170,786",Amplifiers -> Power Amplifiers -> Full Size (19 inch) -> QA Series,amplifiers/power-amplifiers/full-size-19-inch-/qa-series,10+,169,https://www.avsl.com/assets/images/1/7/172020UK_CO1.jpg,https://www.avsl.com/assets/images/1/7/172020UK_LD.jpg
172.025UK,QA1000,QA1000 Power Amplifier,QA Series Power Amplifiers,"Professional dual channel power amplifiers delivering high quality, dependable performance at an accessible price. Design of these workhorse amplifiers has been focused upon high power delivery without over-complicated features adding excessive costs. Yet still, these units are furnished with multiple connection possibilities and self protection circuitry to ensure that they will deliver, whatever the application.","High power delivery[br]Overheat/overload protection[br]Multiple input and output connection types[br]2U 19"" rack mountable[br]Balanced and unbalanced inputs","Power supply[tab]110/240Vac, 50/60Hz (IEC)[br]THD[tab]0.25%[br]SNR[tab]90dB[br]Inputs[tab]Combo (6.3mm jack + XLR) and  RCA[br]Outputs[tab]SPK, 6.3mm jack and 4mm binding posts",Power max. @ 4 Ohms[tab]2 x 500W[br]Power rms @ 4 Ohms[tab]2 x 250W[br]Power rms @ 8 Ohms[tab]2 x 170W[br]Dimensions[tab]88 x 482 x 340mm[br]Weight[tab]9.1kg[br]Fuse rating[tab]T5A (240V) / T10A (110V),QTX,9.1,03/08/2022 13:04,786,"1,165,169,170,786",Amplifiers -> Power Amplifiers -> Full Size (19 inch) -> QA Series,amplifiers/power-amplifiers/full-size-19-inch-/qa-series,10+,259,https://www.avsl.com/assets/images/1/7/172025UK_CO2.jpg,https://www.avsl.com/assets/images/1/7/172025UK_CO1.jpg
172.051UK,Q240,Q240 power amplifier 2 x 120W,Q Series Stereo Power Amplifiers,"Stereo workhorse power amplifiers with multiple input and output connection options. Designed for accurate and reliable service for venues, DJs and performers.","6.3mm jack or RCA inputs[br]SPK, 6.3mm jack or 4mm post outputs[br]Fan cooled[br]19"" rack-mountable (2U)","Power supply[tab]230Vac, 50Hz (IEC)[br]Frequency response[tab]20Hz - 20kHz[br]Input connectors[tab]6.3mm jack, RCA (L+R)[br]Input sensitivity[tab]775mV, 10k Ohms[br]Output connectors[tab]6.3mm jack, SPK, 4mm binding posts (L+R)[br]S/N ratio[tab]>98dB[br]THD[tab]<0.5%",Fuse rating[tab]T2A (240V) / T4A (110V)[br]Power max. : 4 Ohms[tab]2 x 120W[br]Power rms : 4 Ohms[tab]2 x 60W[br]Power rms : 8 Ohms[tab]2 x 40W[br]Dimensions[tab]482 x 240 x 88mm (2U)[br]Weight[tab]5.2kg,QTX,5.2,01/09/2022 16:01,789,"1,165,169,170,789",Amplifiers -> Power Amplifiers -> Full Size (19 inch) -> Q Series,amplifiers/power-amplifiers/full-size-19-inch-/q-series,10+,129,https://www.avsl.com/assets/images/1/7/172051UK_CO2.jpg,https://www.avsl.com/assets/images/1/7/172051UK_IN2.jpg
172.052UK,Q480,Q480 power amplifier 2 x 240W,Q Series Stereo Power Amplifiers,"Stereo workhorse power amplifiers with multiple input and output connection options. Designed for accurate and reliable service for venues, DJs and performers.","6.3mm jack or RCA inputs[br]SPK, 6.3mm jack or 4mm post outputs[br]Fan cooled[br]19"" rack-mountable (2U)","Power supply[tab]230Vac, 50Hz (IEC)[br]Frequency response[tab]20Hz - 20kHz[br]Input connectors[tab]6.3mm jack, RCA (L+R)[br]Input sensitivity[tab]775mV, 10k Ohms[br]Output connectors[tab]6.3mm jack, SPK, 4mm binding posts (L+R)[br]S/N ratio[tab]>98dB[br]THD[tab]<0.5%",Fuse rating[tab]T5A (240V) / T10A (110V)[br]Power max. : 4 Ohms[tab]2 x 240W[br]Power rms : 4 Ohms[tab]2 x 120W[br]Power rms : 8 Ohms[tab]2 x 80W[br]Dimensions[tab]482 x 300 x 88mm (2U)[br]Weight[tab]6.45kg,QTX,6.5,01/09/2022 16:01,789,"1,165,169,170,789",Amplifiers -> Power Amplifiers -> Full Size (19 inch) -> Q Series,amplifiers/power-amplifiers/full-size-19-inch-/q-series,10+,169,https://www.avsl.com/assets/images/1/7/172052UK_CO2.jpg,https://www.avsl.com/assets/images/1/7/172052UK_CO1.jpg
172.054UK,Q600,Q600 power amplifier 2 x 300W,Q Series Stereo Power Amplifiers,"Stereo workhorse power amplifiers with multiple input and output connection options. Designed for accurate and reliable service for venues, DJs and performers.","6.3mm jack or RCA inputs[br]SPK, 6.3mm jack or 4mm post outputs[br]Fan cooled[br]19"" rack-mountable (2U)","Power supply[tab]230Vac, 50Hz (IEC)[br]Frequency response[tab]20Hz - 20kHz[br]Input connectors[tab]6.3mm jack, RCA (L+R)[br]Input sensitivity[tab]775mV, 10k Ohms[br]Output connectors[tab]6.3mm jack, SPK, 4mm binding posts (L+R)[br]S/N ratio[tab]>98dB[br]THD[tab]<0.5%",Fuse rating[tab]T5A (240V) / T10A (110V)[br]Power max. : 4 Ohms[tab]2 x 300W[br]Power rms : 4 Ohms[tab]2 x 150W[br]Power rms : 8 Ohms[tab]2 x 100W[br]Dimensions[tab]482 x 300 x 88mm (2U)[br]Weight[tab]7.35kg,QTX,7.35,01/09/2022 16:01,789,"1,165,169,170,789",Amplifiers -> Power Amplifiers -> Full Size (19 inch) -> Q Series,amplifiers/power-amplifiers/full-size-19-inch-/q-series,0,179,https://www.avsl.com/assets/images/1/7/172054UK_CO2.jpg,https://www.avsl.com/assets/images/1/7/172054UK_IN2.jpg
172.055UK,Q1000,Q1000 power amplifier 2 x 500W,Q Series Stereo Power Amplifiers,"Stereo workhorse power amplifiers with multiple input and output connection options. Designed for accurate and reliable service for venues, DJs and performers.","6.3mm jack or RCA inputs[br]SPK, 6.3mm jack or 4mm post outputs[br]Fan cooled[br]19"" rack-mountable (2U)","Power supply[tab]230Vac, 50Hz (IEC)[br]Frequency response[tab]20Hz - 20kHz[br]Input connectors[tab]6.3mm jack, RCA (L+R)[br]Input sensitivity[tab]775mV, 10k Ohms[br]Output connectors[tab]6.3mm jack, SPK, 4mm binding posts (L+R)[br]S/N ratio[tab]>98dB[br]THD[tab]<0.5%",Fuse rating[tab]T5A (240V) / T10A (110V)[br]Power max. : 4 Ohms[tab]2 x 500W[br]Power rms : 4 Ohms[tab]2 x 250W[br]Power rms : 8 Ohms[tab]2 x 160W[br]Dimensions[tab]482 x 380 x 88mm (2U)[br]Weight[tab]9kg,QTX,9,01/09/2022 16:01,789,"1,165,169,170,789",Amplifiers -> Power Amplifiers -> Full Size (19 inch) -> Q Series,amplifiers/power-amplifiers/full-size-19-inch-/q-series,10+,239,https://www.avsl.com/assets/images/1/7/172055UK_CO2.jpg,https://www.avsl.com/assets/images/1/7/172055UK_CO1.jpg
172.103UK,D300,D300 Class-D Amplifier 2 x 150Wrms,D-Series Class-D Power Amplifiers,Stereo power amplifier in a lightweight 1U rack-mountable housing. Class-D circuit architecture efficiently converts power into impactful audio for driving medium to large speaker cabinets. Custom cool guide technology ensures consistent and reliable operation and an inbuilt limiter circuit engages at peak output to prevent speaker overload. Options for parallel and bridge mode with selectable input levels and 75Hz low cut filter allow for different configurations to handle even the most demanding of sound reinforcement duties.,Compact and lightweight 1U rack format[br]Cool and efficient operation even at high output[br]Switchable parallel and bridge modes,"Power supply[tab]220-240Vac, 50/60Hz (IEC)[br]Modes[tab]Stereo, Parallel (mono), Bridge (mono)[br]Input sensitivity[tab]0.775V - 1.0V - 1.44V switchable[br]Low-cut filter[tab]75Hz switchable[br]Input connections[tab]L+R XLR female (L+R XLR male through)[br]Output connections[tab]L+R SPK connectors (+1 for bridge mode)[br]Dimensions[tab]482 x 245 x 44mm",Weight[tab]3.50kg[br]Bridge power @ 8 Ohms[tab]1 x 300W[br]Power rms @ 8 Ohms[tab]2 x 75W[br]Power rms @ 4 Ohms[tab]2 x 150W[br]Fuse[tab]T6.3A (20 x 5mm),Citronic,3.97,23/07/2024 15:33,795,"1,165,169,170,795",Amplifiers -> Power Amplifiers -> Full Size (19 inch) -> Other,amplifiers/power-amplifiers/full-size-19-inch-/other,10+,249,https://www.avsl.com/assets/images/1/7/172103UK_CO1.JPG,https://www.avsl.com/assets/images/1/7/172103UK_CO3.JPG
172.106UK,D600,D600 Class-D Amplifier 2 x 300Wrms,D-Series Class-D Power Amplifiers,Stereo power amplifier in a lightweight 1U rack-mountable housing. Class-D circuit architecture efficiently converts power into impactful audio for driving medium to large speaker cabinets. Custom cool guide technology ensures consistent and reliable operation and an inbuilt limiter circuit engages at peak output to prevent speaker overload. Options for parallel and bridge mode with selectable input levels and 75Hz low cut filter allow for different configurations to handle even the most demanding of sound reinforcement duties.,Compact and lightweight 1U rack format[br]Cool and efficient operation even at high output[br]Switchable parallel and bridge modes,"Power supply[tab]220-240Vac, 50/60Hz (IEC)[br]Modes[tab]Stereo, Parallel (mono), Bridge (mono)[br]Input sensitivity[tab]0.775V - 1.0V - 1.44V switchable[br]Low-cut filter[tab]75Hz switchable[br]Input connections[tab]L+R XLR female (L+R XLR male through)[br]Output connections[tab]L+R SPK connectors (+1 for bridge mode)[br]Dimensions[tab]482 x 245 x 44mm",Power rms @ 4 Ohms[tab]2 x 300W[br]Power rms @ 8 Ohms[tab]2 x 150W[br]Bridge power @ 8 Ohms[tab]1 x 600W[br]Weight[tab]3.77kg[br]Fuse[tab]T8A (20 x 5mm),Citronic,4.274,23/07/2024 15:33,795,"1,165,169,170,795",Amplifiers -> Power Amplifiers -> Full Size (19 inch) -> Other,amplifiers/power-amplifiers/full-size-19-inch-/other,10+,289,https://www.avsl.com/assets/images/1/7/172106UK_CO1.jpg,https://www.avsl.com/assets/images/1/7/172106UK_CO2.jpg
172.110UK,D1000,D1000 Class-D Amplifier 2 x 500Wrms,D-Series Class-D Power Amplifiers,Stereo power amplifier in a lightweight 1U rack-mountable housing. Class-D circuit architecture efficiently converts power into impactful audio for driving medium to large speaker cabinets. Custom cool guide technology ensures consistent and reliable operation and an inbuilt limiter circuit engages at peak output to prevent speaker overload. Options for parallel and bridge mode with selectable input levels and 75Hz low cut filter allow for different configurations to handle even the most demanding of sound reinforcement duties.,Compact and lightweight 1U rack format[br]Cool and efficient operation even at high output[br]Switchable parallel and bridge modes,"Power supply[tab]220-240Vac, 50/60Hz (IEC)[br]Modes[tab]Stereo, Parallel (mono), Bridge (mono)[br]Input sensitivity[tab]0.775V - 1.0V - 1.44V switchable[br]Low-cut filter[tab]75Hz switchable[br]Input connections[tab]L+R XLR female (L+R XLR male through)[br]Output connections[tab]L+R SPK connectors (+1 for bridge mode)[br]Dimensions[tab]482 x 245 x 44mm",Power rms @ 4 Ohms[tab]2 x 500W[br]Power rms @ 8 Ohms[tab]2 x 250W[br]Bridge power @ 8 Ohms[tab]1 x 1000W[br]Weight[tab]3.93kg[br]Fuse[tab]T10A (20 x 5mm),Citronic,4.7,23/07/2024 15:33,795,"1,165,169,170,795",Amplifiers -> Power Amplifiers -> Full Size (19 inch) -> Other,amplifiers/power-amplifiers/full-size-19-inch-/other,10+,339,https://www.avsl.com/assets/images/1/7/172110UK_CO1.jpg,https://www.avsl.com/assets/images/1/7/172110UK_CO2.jpg
172.117UK,H1600,H1600 Hybrid Amp 2x650W @ 4ohm,Hybrid Class-H Power Amplifiers,"Lightweight power amplifiers in a 19"" rack-mountable housing for generating high sound pressure levels in medium to large sound reinforcement systems. H-series amplifiers employ a new hybrid class-H architecture, which combines the streamlined efficiency of a digitally controlled power section design with the power delivery and stability of a professional class-H output stage. Comprehensive internal protection monitors any thermal or overload conditions, automatically mutes at power on/off and provides active inrush limiting. A digital display continually shows the supply voltage, internal temperature and output level. A fully balanced signal path has 3 switchable input sensitivity levels to match different audio sources and the amplifier section can be set to operate in Stereo, Parallel or Bridge modes. A switchable 120Hz low-pass filter can be selected for use with subwoofers, avoiding the need for a separate crossover and saving additional expense and rack space. Speaker outputs can be connected using 1 or 2 Speakon leads as required. H-series amplifiers provide immediate and dynamic power on demand for sound contractors and PA installers that need dependable service with optimum sound quality.",Hybrid class-H circuit design[br]Digitally controlled and monitored power section[br]Switchable 120Hz low-pass crossover[br]Backlit LCD status display[br]Full internal thermal and overload protection[br]Stable down to 2 Ohms (4 Ohms bridged),"Power supply[tab]200-240Vac, 50Hz (IEC)[br]Amplifier : construction[tab]Hybrid Class-H[br]Protection[tab]Short/open circuit, thermal, RF, DC fault, on/off mute, active inrush[br]Frequency response[tab]20Hz-20KHz ±0.5dB[br]THD +N[tab]0.2%[br]S/N ratio[tab]-95dB[br]Damping factor[tab]>700[br]Input sensitivity[tab]1.0V - 1.4V - 2.0V switchable[br]Input impedance[tab]20KΩ (balanced),10KΩ (unbalanced)[br]Crossover[tab]Switchable full range or fixed 120Hz low-pass filter",Dimensions[tab]483 x 361 x 44 mm (1U)[br]Fuse[tab]T6AL 250V[br]Power rms @ 8 Ohms[tab]2 x 450W[br]Power rms @ 4 Ohms[tab]2 x 650W[br]Power rms @ 2 Ohms[tab]2 x 800W (40ms burst 1kHz sine)[br]Power rms bridge @ 8 Ohms[tab]1200W[br]Power rms bridge @ 4 Ohms[tab]1600W (40ms burst 1kHz sine)[br]Weight[tab]6.8kg,Citronic,7.3,24/08/2023 10:10,795,"1,165,169,170,795",Amplifiers -> Power Amplifiers -> Full Size (19 inch) -> Other,amplifiers/power-amplifiers/full-size-19-inch-/other,10+,519,https://www.avsl.com/assets/images/1/7/172117UK_CO1.jpg,https://www.avsl.com/assets/images/1/7/172117UK_CO2.jpg
172.125UK,H2400,H2400 Hybrid Amp 2x900W @ 4ohm,Hybrid Class-H Power Amplifiers,"Lightweight power amplifiers in a 19"" rack-mountable housing for generating high sound pressure levels in medium to large sound reinforcement systems. H-series amplifiers employ a new hybrid class-H architecture, which combines the streamlined efficiency of a digitally controlled power section design with the power delivery and stability of a professional class-H output stage. Comprehensive internal protection monitors any thermal or overload conditions, automatically mutes at power on/off and provides active inrush limiting. A digital display continually shows the supply voltage, internal temperature and output level. A fully balanced signal path has 3 switchable input sensitivity levels to match different audio sources and the amplifier section can be set to operate in Stereo, Parallel or Bridge modes. A switchable 120Hz low-pass filter can be selected for use with subwoofers, avoiding the need for a separate crossover and saving additional expense and rack space. Speaker outputs can be connected using 1 or 2 Speakon leads as required. H-series amplifiers provide immediate and dynamic power on demand for sound contractors and PA installers that need dependable service with optimum sound quality.",Hybrid class-H circuit design[br]Digitally controlled and monitored power section[br]Switchable 120Hz low-pass crossover[br]Backlit LCD status display[br]Full internal thermal and overload protection[br]Stable down to 2 Ohms (4 Ohms bridged),"Power supply[tab]200-240Vac, 50Hz (IEC)[br]Amplifier : construction[tab]Hybrid Class-H[br]Protection[tab]Short/open circuit, thermal, RF, DC fault, on/off mute, active inrush[br]Frequency response[tab]20Hz-20KHz ±0.5dB[br]THD +N[tab]0.2%[br]S/N ratio[tab]-95dB[br]Damping factor[tab]>700[br]Input sensitivity[tab]1.0V - 1.4V - 2.0V switchable[br]Input impedance[tab]20KΩ (balanced),10KΩ (unbalanced)[br]Crossover[tab]Switchable full range or fixed 120Hz low-pass filter",Dimensions[tab]483 x 361 x 44 mm (1U)[br]Fuse[tab]T8AL 250V[br]Power rms @ 8 Ohms[tab]2 x 600W[br]Power rms @ 4 Ohms[tab]2 x 900W[br]Power rms @ 2 Ohms[tab]2 x 1200W (40ms burst 1kHz sine)[br]Power rms bridge @ 8 Ohms[tab]1800W[br]Power rms bridge @ 4 Ohms[tab]2400W (40ms burst 1kHz sine)[br]Weight[tab]7.0kg,Citronic,7.5,24/08/2023 10:10,795,"1,165,169,170,795",Amplifiers -> Power Amplifiers -> Full Size (19 inch) -> Other,amplifiers/power-amplifiers/full-size-19-inch-/other,0,539,https://www.avsl.com/assets/images/1/7/172125UK_CO1.jpg,https://www.avsl.com/assets/images/1/7/172125UK_CO2.jpg
172.132UK,H3200,H3200 Hybrid Amp 2x1200W @4ohm,Hybrid Class-H Power Amplifiers,"Lightweight power amplifiers in a 19"" rack-mountable housing for generating high sound pressure levels in medium to large sound reinforcement systems. H-series amplifiers employ a new hybrid class-H architecture, which combines the streamlined efficiency of a digitally controlled power section design with the power delivery and stability of a professional class-H output stage. Comprehensive internal protection monitors any thermal or overload conditions, automatically mutes at power on/off and provides active inrush limiting. A digital display continually shows the supply voltage, internal temperature and output level. A fully balanced signal path has 3 switchable input sensitivity levels to match different audio sources and the amplifier section can be set to operate in Stereo, Parallel or Bridge modes. A switchable 120Hz low-pass filter can be selected for use with subwoofers, avoiding the need for a separate crossover and saving additional expense and rack space. Speaker outputs can be connected using 1 or 2 Speakon leads as required. H-series amplifiers provide immediate and dynamic power on demand for sound contractors and PA installers that need dependable service with optimum sound quality.",Hybrid class-H circuit design[br]Digitally controlled and monitored power section[br]Switchable 120Hz low-pass crossover[br]Backlit LCD status display[br]Full internal thermal and overload protection[br]Stable down to 2 Ohms (4 Ohms bridged),"Power supply[tab]200-240Vac, 50Hz (IEC)[br]Amplifier : construction[tab]Hybrid Class-H[br]Protection[tab]Short/open circuit, thermal, RF, DC fault, on/off mute, active inrush[br]Frequency response[tab]20Hz-20KHz ±0.5dB[br]THD +N[tab]0.2%[br]S/N ratio[tab]-95dB[br]Damping factor[tab]>700[br]Input sensitivity[tab]1.0V - 1.4V - 2.0V switchable[br]Input impedance[tab]20KΩ (balanced),10KΩ (unbalanced)[br]Crossover[tab]Switchable full range or fixed 120Hz low-pass filter",Dimensions[tab]483 x 361 x 88 mm (2U)[br]Fuse[tab]T10AL 250V[br]Power rms @ 8 Ohms[tab]2 x 800W[br]Power rms @ 4 Ohms[tab]2 x 1200W[br]Power rms @ 2 Ohms[tab]2 x 1600W (40ms burst 1kHz sine)[br]Power rms bridge @ 4 Ohms[tab]3200W (40ms burst 1kHz sine)[br]Power rms bridge @ 8 Ohms[tab]2400W[br]Weight[tab]8.9kg,Citronic,8.8,24/08/2023 10:10,795,"1,165,169,170,795",Amplifiers -> Power Amplifiers -> Full Size (19 inch) -> Other,amplifiers/power-amplifiers/full-size-19-inch-/other,10+,679,https://www.avsl.com/assets/images/1/7/172132UK_CO2.jpg,https://www.avsl.com/assets/images/1/7/172132UK_CO3.jpg
172.142UK,D4200,D4200 Quad Amplifier 4 x 200Wrms,D-series Quad Power Amplifiers,"Quad digital power amplifier in a lightweight 1U rack-mountable format. An energy-efficient switch-mode power section and class-D amplifiication circuit delivers accurate power-on-demand to four independent speaker outputs. Proprietary cool guide technology provides stable temperature management for dependable operation. Each pair of output channels can be separately parallel switched or bridged as a full or part stereo amplifier configuration. For channel A, there is a switchable 120Hz low-pass filter for use with subwoofers and a channels C and D have a switchable stereo pair of 120Hz high pass filters to effectively focus power in full-range cabs operating as mid-tops in conjunction with sub-woofers. For permanent or mobile installations, the D-series offers an invaluable and flexible problem solver for audio designers and sound engineers.","Switchable bridge or parallel mono modes[br]Switchable high and low pass filters[br]Fully balanced audio signal path[br]Full audio and power protection with peak limiter[br]Configurable as a quad, stereo or 2.1 system","Power supply[tab]220-240Vac, 50/60Hz (IEC)[br]Modes[tab]2 x Stereo, Parallel (mono), Bridge (mono)[br]Input sensitivity[tab]0dB = 0.775Vrms[br]Input connections[tab]4 x XLR female[br]Sound output[tab]4 x SPK connectors[br]Dimensions[tab]482 x 248 x 44mm (without feet)[br]Crossover[tab]Input A 120Hz LPF and C+D 120Hz HPF (all switchable)",Output : rms @ 4 Ohms[tab]4 x 200W[br]Output : rms @ 8 Ohms[tab]4 x 100W[br]Bridge power @ 8 Ohms[tab]2 x 400W (both pairs of channels bridged)[br]Weight[tab]4.393kg,Citronic,5.4,16/02/2024 14:12,792,"1,165,169,170,792",Amplifiers -> Power Amplifiers -> Full Size (19 inch) -> QP Series (Quad),amplifiers/power-amplifiers/full-size-19-inch-/qp-series-quad-,10+,429,https://www.avsl.com/assets/images/1/7/172142UK_CO1.jpg,https://www.avsl.com/assets/images/1/7/172142UK_CO3.jpg
172.144UK,D4350,D4350 Quad Amplifier 4 x 350Wrms,D-series Quad Power Amplifiers,"Quad digital power amplifier in a lightweight 1U rack-mountable format. An energy-efficient switch-mode power section and class-D amplifiication circuit delivers accurate power-on-demand to four independent speaker outputs. Proprietary cool guide technology provides stable temperature management for dependable operation. Each pair of output channels can be separately parallel switched or bridged as a full or part stereo amplifier configuration. For channel A, there is a switchable 120Hz low-pass filter for use with subwoofers and a channels C and D have a switchable stereo pair of 120Hz high pass filters to effectively focus power in full-range cabs operating as mid-tops in conjunction with sub-woofers. For permanent or mobile installations, the D-series offers an invaluable and flexible problem solver for audio designers and sound engineers.","Switchable bridge or parallel mono modes[br]Switchable high and low pass filters[br]Fully balanced audio signal path[br]Full audio and power protection with peak limiter[br]Configurable as a quad, stereo or 2.1 system","Power supply[tab]220-240Vac, 50/60Hz (IEC)[br]Modes[tab]2 x Stereo, Parallel (mono), Bridge (mono)[br]Input sensitivity[tab]0dB = 0.775Vrms[br]Input connections[tab]4 x XLR female[br]Sound output[tab]4 x SPK connectors[br]Dimensions[tab]482 x 248 x 44mm (without feet)[br]Crossover[tab]Input A 120Hz LPF and C+D 120Hz HPF (all switchable)",Output : rms @ 4 Ohms[tab]4 x 350W[br]Output : rms @ 8 Ohms[tab]4 x 200W[br]Bridge power @ 8 Ohms[tab]2 x 700W (both pairs of channels bridged)[br]Weight[tab]5.083kg,Citronic,5.45,16/02/2024 14:12,792,"1,165,169,170,792",Amplifiers -> Power Amplifiers -> Full Size (19 inch) -> QP Series (Quad),amplifiers/power-amplifiers/full-size-19-inch-/qp-series-quad-,10+,479,https://www.avsl.com/assets/images/1/7/172144UK_CO3.jpg,https://www.avsl.com/assets/images/1/7/172144UK_CO5.jpg
